TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;161127982.39;;2025-05-29;SDP;DI1 X PRE
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;58388821.21;;2025-05-29;SDP;DI1 X PRE
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;7545223.45;;2025-05-29;SDC;DI1 X DOL
FI;04.085.474/0001-34;UBS PRÓPRIO FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;161217073.13;;2025-05-29;SBD;SB1 X DI1
FI;04.894.428/0001-86;BANESTES FMP-FGTS VALE DO RIO DOCE;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO FINANCEIRO CAMBIAL LONGO PRAZO RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3387713.60;;;SDE;DI1 X REU
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;130811939.64;;;SEP;REU X PRE
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;120804508.95;;;SDE;DI1 X REU
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;372236988.14;;;SDC;DI1 X DOL
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;54277424.47;;;SDL;DI1 X IAP
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;38701427.96;;;SCP;DOL X PRE
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;713917099.10;;;Outros;999 X 999
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;14390984.60;;;SDE;DI1 X REU
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;9579331.10;;;SDL;DI1 X IAP
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;9811238.12;;;SCE;DOL X REU
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;82492335.91;;;SDC;DI1 X DOL
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;34000315.45;;;SCP;DOL X PRE
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;117982520.00;;;Outros;999 X 999
FI;05.754.066/0001-90;CLASSE ÚNICA DO ÁGATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;127231416.79;;;SEP;REU X PRE
FI;07.110.975/0001-11;CLASSE ÚNICA DO OAK FUNDO DE  INVESTIMENTO FINANCEIRO MULTIMERCADO  CP INVESTIMENTO NO EXTERIOR;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;221848340.67;;;Outros;999 X 999
FI;07.110.975/0001-11;CLASSE ÚNICA DO OAK FUNDO DE  INVESTIMENTO FINANCEIRO MULTIMERCADO  CP INVESTIMENTO NO EXTERIOR;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;172501.15;;;SDC;DI1 X DOL
